antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'ransomware=False', 'year=<=2022', 'product=Windows'})","frozenset({'vendor=Microsoft', 'month=Q1'})",0.06377014716187807,0.0861948142957253,0.023826208829712685,0.37362637362637363,4.334673456624676,1.0,0.018329552837483533,1.4588819631419123,0.8217021838675591,0.1888888888888889,0.31454358524910675,0.32502456892700793
"frozenset({'ransomware=False', 'vendor=Microsoft', 'month=Q1'})","frozenset({'year=<=2022', 'product=Windows'})",0.0861948142957253,0.06377014716187807,0.023826208829712685,0.2764227642276423,4.334673456624676,1.0,0.018329552837483533,1.293890695495382,0.8418666546373151,0.1888888888888889,0.22713718903656105,0.32502456892700793
frozenset({'product=Windows'}),"frozenset({'ransomware=False', 'vendor=Microsoft', 'month=Q2'})",0.1079187105816398,0.05185704274702172,0.023826208829712685,0.2207792207792208,4.257458757458758,1.0,0.018229863641877127,1.2167834618079887,0.8576775564899959,0.17525773195876287,0.17816108503469927,0.34011934011934014
frozenset({'product=Windows'}),"frozenset({'vendor=Microsoft', 'month=Q2'})",0.1079187105816398,0.05185704274702172,0.023826208829712685,0.2207792207792208,4.257458757458758,1.0,0.018229863641877127,1.2167834618079887,0.8576775564899959,0.17525773195876287,0.17816108503469927,0.34011934011934014
"frozenset({'ransomware=False', 'vendor=Microsoft', 'month=Q2'})",frozenset({'product=Windows'}),0.05185704274702172,0.1079187105816398,0.023826208829712685,0.4594594594594595,4.257458757458758,1.0,0.018229863641877127,1.6503503854239663,0.8069649145689318,0.17525773195876287,0.3940680664954035,0.34011934011934014
"frozenset({'vendor=Microsoft', 'month=Q2'})",frozenset({'product=Windows'}),0.05185704274702172,0.1079187105816398,0.023826208829712685,0.4594594594594595,4.257458757458758,1.0,0.018229863641877127,1.6503503854239663,0.8069649145689318,0.17525773195876287,0.3940680664954035,0.34011934011934014
"frozenset({'ransomware=False', 'product=Windows'})","frozenset({'vendor=Microsoft', 'month=Q2'})",0.1079187105816398,0.05185704274702172,0.023826208829712685,0.2207792207792208,4.257458757458758,1.0,0.018229863641877127,1.2167834618079887,0.8576775564899959,0.17525773195876287,0.17816108503469927,0.34011934011934014
"frozenset({'vendor=Microsoft', 'month=Q2'})","frozenset({'ransomware=False', 'product=Windows'})",0.05185704274702172,0.1079187105816398,0.023826208829712685,0.4594594594594595,4.257458757458758,1.0,0.018229863641877127,1.6503503854239663,0.8069649145689318,0.17525773195876287,0.3940680664954035,0.34011934011934014
"frozenset({'year=<=2022', 'product=Windows'})","frozenset({'ransomware=False', 'vendor=Microsoft'})",0.06377014716187807,0.23686054660126138,0.06377014716187807,1.0,4.221893491124261,1.0,0.04866551524827275,inf,0.815119760479042,0.2692307692307692,1.0,0.6346153846153846
"frozenset({'year=<=2022', 'product=Windows', 'month=Q4'})",frozenset({'vendor=Microsoft'}),0.02102312543798178,0.23686054660126138,0.02102312543798178,1.0,4.221893491124261,1.0,0.016043576455474533,inf,0.7795275590551182,0.08875739644970414,1.0,0.5443786982248521
frozenset({'vendor=Microsoft'}),"frozenset({'ransomware=False', 'product=Windows', 'month=Q1'})",0.23686054660126138,0.03714085494043448,0.03714085494043448,0.15680473372781067,4.221893491124261,1.0,0.02834365173800501,1.1419171615092392,1.0,0.1568047337278107,0.12427973437378882,0.5784023668639053
"frozenset({'ransomware=False', 'year=<=2022', 'product=Windows'})",frozenset({'vendor=Microsoft'}),0.06377014716187807,0.23686054660126138,0.06377014716187807,1.0,4.221893491124261,1.0,0.04866551524827275,inf,0.815119760479042,0.2692307692307692,1.0,0.6346153846153846
"frozenset({'ransomware=False', 'year=<=2022', 'product=Internet Explorer'})",frozenset({'vendor=Microsoft'}),0.02102312543798178,0.23686054660126138,0.02102312543798178,1.0,4.221893491124261,1.0,0.016043576455474533,inf,0.7795275590551182,0.08875739644970414,1.0,0.5443786982248521
"frozenset({'year=<=2022', 'product=Internet Explorer'})","frozenset({'ransomware=False', 'vendor=Microsoft'})",0.02102312543798178,0.23686054660126138,0.02102312543798178,1.0,4.221893491124261,1.0,0.016043576455474533,inf,0.7795275590551182,0.08875739644970414,1.0,0.5443786982248521
frozenset({'vendor=Microsoft'}),"frozenset({'ransomware=False', 'product=Windows'})",0.23686054660126138,0.1079187105816398,0.1079187105816398,0.455621301775148,4.221893491124261,1.0,0.08235702580476928,1.6387145425185097,1.0000000000000002,0.455621301775148,0.38976559122791526,0.727810650887574
frozenset({'vendor=Microsoft'}),frozenset({'product=Windows'}),0.23686054660126138,0.1079187105816398,0.1079187105816398,0.455621301775148,4.221893491124261,1.0,0.08235702580476928,1.6387145425185097,1.0000000000000002,0.455621301775148,0.38976559122791526,0.727810650887574
frozenset({'product=Windows'}),frozenset({'vendor=Microsoft'}),0.1079187105816398,0.23686054660126138,0.1079187105816398,1.0,4.221893491124261,1.0,0.08235702580476928,inf,0.8554595443833466,0.455621301775148,1.0,0.727810650887574
"frozenset({'ransomware=False', 'vendor=Microsoft'})",frozenset({'product=Windows'}),0.23686054660126138,0.1079187105816398,0.1079187105816398,0.455621301775148,4.221893491124261,1.0,0.08235702580476928,1.6387145425185097,1.0000000000000002,0.455621301775148,0.38976559122791526,0.727810650887574
frozenset({'product=Windows'}),"frozenset({'ransomware=False', 'vendor=Microsoft'})",0.1079187105816398,0.23686054660126138,0.1079187105816398,1.0,4.221893491124261,1.0,0.08235702580476928,inf,0.8554595443833466,0.455621301775148,1.0,0.727810650887574
"frozenset({'ransomware=False', 'product=Windows'})",frozenset({'vendor=Microsoft'}),0.1079187105816398,0.23686054660126138,0.1079187105816398,1.0,4.221893491124261,1.0,0.08235702580476928,inf,0.8554595443833466,0.455621301775148,1.0,0.727810650887574
"frozenset({'product=Windows', 'month=Q4'})",frozenset({'vendor=Microsoft'}),0.0322354590049054,0.23686054660126138,0.0322354590049054,1.0,4.221893491124261,1.0,0.02460015056506095,inf,0.7885590152063723,0.13609467455621305,1.0,0.5680473372781065
"frozenset({'product=Windows', 'month=Q4'})","frozenset({'ransomware=False', 'vendor=Microsoft'})",0.0322354590049054,0.23686054660126138,0.0322354590049054,1.0,4.221893491124261,1.0,0.02460015056506095,inf,0.7885590152063723,0.13609467455621305,1.0,0.5680473372781065
"frozenset({'ransomware=False', 'product=Windows', 'month=Q4'})",frozenset({'vendor=Microsoft'}),0.0322354590049054,0.23686054660126138,0.0322354590049054,1.0,4.221893491124261,1.0,0.02460015056506095,inf,0.7885590152063723,0.13609467455621305,1.0,0.5680473372781065
"frozenset({'year=<=2022', 'product=Internet Explorer'})",frozenset({'vendor=Microsoft'}),0.02102312543798178,0.23686054660126138,0.02102312543798178,1.0,4.221893491124261,1.0,0.016043576455474533,inf,0.7795275590551182,0.08875739644970414,1.0,0.5443786982248521
